"Package","Type","Path"
"curl","CRAN",NA
"devtools","CRAN",NA
"roxygen2","CRAN",NA
"stringr","CRAN",NA
"knitr","CRAN",NA
"data.table","CRAN",NA
"ordinal","CRAN",NA
"geosphere","CRAN",NA
"fields","CRAN",NA
"future","CRAN",NA
"filesstrings","CRAN",NA
"car","CRAN",NA
"pbkrtest","CRAN",NA
"pscl","CRAN",NA
"quantreg","CRAN",NA
"reshape","CRAN",NA
"shiny","CRAN",NA
"shinyjs","CRAN",NA
"shinyFiles","CRAN",NA
"DT","CRAN",NA
"shinyBS","CRAN",NA
"future","CRAN",NA
"testit","CRAN",NA
"jsonlite","CRAN",NA
"shinyAce","CRAN",NA
"envDocument","CRAN",NA
"rhandsontable","CRAN",NA
"shinyTree","CRAN",NA
"rhdf5","BioConductor",NA
"namedCapture","install","external"
"visioneval","visioneval","sources/framework"
"VE2001NHTS","visioneval","sources/modules"
"VESyntheticFirms","visioneval","sources/modules"
"VESimHouseholds","visioneval","sources/modules"
"VELandUse","visioneval","sources/modules"
"VETransportSupply","visioneval","sources/modules"
"VETransportSupplyUse","visioneval","sources/modules"
"VEHouseholdTravel","visioneval","sources/modules"
"VEHouseholdVehicles","visioneval","sources/modules"
"VEPowertrainsAndFuels","visioneval","sources/modules"
"VETravelPerformance","visioneval","sources/modules"
"VEReports","visioneval","sources/modules"
"VEGui",copy,"sources"
"models","copy","sources"
