"Package","Type","Path"
"curl","CRAN",NA
"data.table","CRAN",NA
"devtools","CRAN",NA
"digest","CRAN",NA
"DT","CRAN",NA
"envDocument","CRAN",NA
"future","CRAN",NA
"jsonlite","CRAN",NA
"knitr","CRAN",NA
"lme4","CRAN",NA
"rhandsontable","CRAN",NA
"roxygen2","CRAN",NA
"shiny","CRAN",NA
"shinyAce","CRAN",NA
"shinyBS","CRAN",NA
"shinyFiles","CRAN",NA
"shinyjs","CRAN",NA
"shinyTree","CRAN",NA
"stringr","CRAN",NA
"testit","CRAN",NA
"filesstrings","CRAN",NA
"reshape","CRAN",NA
"reshape2","CRAN",NA
"car","CRAN",NA
"pbkrtest","CRAN",NA
"quantreg","CRAN",NA
"geosphere","CRAN",NA
"fields","CRAN",NA
"pscl","CRAN",NA
"ordinal","CRAN",NA
"nanotime","CRAN",NA
"Cairo","CRAN",NA
"V8","CRAN",NA
"R.utils","CRAN",NA
"R.rsp","CRAN",NA
"dplyr","CRAN",NA
"rhdf5","BioConductor",NA
"namedCapture","install","external"
"visioneval","visioneval","sources/framework"
"VE2001NHTS","visioneval","sources/modules"
"VESyntheticFirms","visioneval","sources/modules"
"VESimHouseholds","visioneval","sources/modules"
"VELandUse","visioneval","sources/modules"
"VETransportSupply","visioneval","sources/modules"
"VETransportSupplyUse","visioneval","sources/modules"
"VEHouseholdTravel","visioneval","sources/modules"
"VEHouseholdVehicles","visioneval","sources/modules"
"VEPowertrainsAndFuels","visioneval","sources/modules"
"VETravelPerformance","visioneval","sources/modules"
"VEReports","visioneval","sources/modules"
"models","copy","sources"
"vegui","copy","sources"
