"Package","Type","Path"
"visioneval","visioneval","sources/framework"
"jsonlite","CRAN",NA
"stringr","CRAN",NA
"filesstrings","CRAN",NA
"knitr","CRAN",NA
"rhdf5","BioConductor",NA
"VE2001NHTS","visioneval","sources/modules"
"usethis","CRAN",NA
"VESyntheticFirms","visioneval","sources/modules"
"reshape","CRAN",NA
"VESimHouseholds","visioneval","sources/modules"
"car","CRAN",NA
"pbkrtest","CRAN",NA
"quantreg","CRAN",NA
"VELandUse","visioneval","sources/modules"
"geosphere","CRAN",NA
"fields","CRAN",NA
"VETransportSupply","visioneval","sources/modules"
"VETransportSupplyUse","visioneval","sources/modules"
"VEHouseholdTravel","visioneval","sources/modules"
"pscl","CRAN",NA
"VEHouseholdVehicles","visioneval","sources/modules"
"ordinal","CRAN",NA
"reshape2","CRAN",NA
"VEPowertrainsAndFuels","visioneval","sources/modules"
"VETravelPerformance","visioneval","sources/modules"
"VEReports","visioneval","sources/modules"
"VEGUI","copy","sources"
"data.table","CRAN",NA
"DT","CRAN",NA
"envDocument","CRAN",NA
"future","CRAN",NA
"jsonlite","CRAN",NA
"rhandsontable","CRAN",NA
"shiny","CRAN",NA
"shinyAce","CRAN",NA
"shinyBS","CRAN",NA
"shinyFiles","CRAN",NA
"shinyFiles","CRAN",NA
"shinyjs","CRAN",NA
"shinyTree","CRAN",NA
"testit","CRAN",NA
"testthat","CRAN",NA
"namedCapture","install","external"
"webdriver","install","external"
"digest","CRAN",NA
"parsedate","CRAN",NA
"pingr","CRAN",NA
"shiny","CRAN",NA
"testthat","CRAN",NA
"htmlwidgets","CRAN",NA
"httpuv","CRAN",NA
"shinytest","install","external"
"callr","CRAN",NA
"base64enc","CRAN",NA
"debugme","CRAN",NA
"showimage","CRAN",NA
"models","copy","sources"
"VEScenarioViewer","copy","sources"
