"Package","Type","Path"
"visioneval","visioneval","sources/framework"
"devtools","CRAN",NA
"jsonlite","CRAN",NA
"stringr","CRAN",NA
"filesstrings","CRAN",NA
"rhdf5","BioConductor",NA
"VE2001NHTS","visioneval","sources/modules"
"knitr","CRAN",NA
"usethis","CRAN",NA
"VESyntheticFirms","visioneval","sources/modules"
"reshape","CRAN",NA
"VESimHouseholds","visioneval","sources/modules"
"car","CRAN",NA
"pbkrtest","CRAN",NA
"quantreg","CRAN",NA
"VELandUse","visioneval","sources/modules"
"geosphere","CRAN",NA
"fields","CRAN",NA
"VETransportSupply","visioneval","sources/modules"
"VETransportSupplyUse","visioneval","sources/modules"
"VEHouseholdTravel","visioneval","sources/modules"
"pscl","CRAN",NA
"VEHouseholdVehicles","visioneval","sources/modules"
"ordinal","CRAN",NA
"reshape2","CRAN",NA
"VEPowertrainsAndFuels","visioneval","sources/modules"
"VETravelPerformance","visioneval","sources/modules"
"VEReports","visioneval","sources/modules"
